"PremiseID","Premise","HypothesisID","Hypothesis","Grade","Label","Partition"
"premID154","Then they cried a sea of tears ","hypoID613","Then they cried a lot",4,1,1
"premID132","She had a heart of stone. ","hypoID528","She was kind.",1,0,1
"premID180","The faculty meeting was a nightmare","hypoID717","The faculty meeting was amusing ",2,1,1
"premID15","my love is a summer day ","hypoID59","my feeling of love is pleasant and joyful",4,1,1
"premID10","he was feeling down hurt and sad  ","hypoID40","he was in a blue mood",3,1,1
"premID107","The animal shakes its tail in the air like a whip. ","hypoID425","The animal shakes in the air.",1,0,1
"premID72","How can we build a knowledge economy if research is handcuffed? (Barque and Chaumartin 2009) ","hypoID287","If research is kept still and is not stimulated  it is not possible to build an economy based on knowledge",3,1,1
"premID95","Nobody cares about the roots of modern civilization. ","hypoID377","He was known as a colourful dog.",1,0,1
"premID68","His condescending attitude made my blood boil. ","hypoID270","His condescending attitude made me enthusiastic.",1,0,1
"premID41","Every person has bitter memories ","hypoID161","Every person can remember some sad life experience",3,1,1
"premID118","The darted harpoon was lightning in the sea. ","hypoID472","The harpoon was in the sea and there was a lightning flash.",2,1,1
"premID138","The promise between us was a flower ","hypoID552","The promise between us was old and granted",2,1,1
"premID17","she cut him down with her words ","hypoID68","she told him things that made him sad",3,1,1
"premID57","He lived in a state of deep terror ","hypoID225","He lived experiencing intense feelings of fear and dread",4,1,1
"premID182","She knew she was burning in shame","hypoID725","She knew she was feeling an intense shame ",4,1,1
"premID22","then a colorful joy exploded in her chest ","hypoID87","then she felt down and depressed",1,0,1
"premID96","Now you can fade off to sleep.  ","hypoID383","Now you can sleep.",3,1,1
"premID8","Don't mention Tom 's promotion to Mike as it would be a red flag to a bull. ","hypoID31","Don't mention Tom 's promotion to Mike as it is sure to make him kind of sad.",2,1,1
"premID171","In the war on terror, American presidents must monitor not only the main terrorist organizations but their offshoots around the world as well","hypoID682","American presidents must monitor the main terrorist organizations as well as any kind of group developing from them around the world ",3,1,1
"premID13","an ancient anger exploded in his heart ","hypoID49","an anger he had suppressed for a long time overwhelmed him",4,1,1
"premID6","While his one live leg made lively echoes along the deck  every stroke of his dead limb sounded like a coffin tap.  ","hypoID22","While his one live leg made lively echoes along the deck every stroke of his dead limb was a coffin noise.",3,1,1
"premID24","we were sinking in an ocean of grass ","hypoID95","we were sinking in the ocean",1,0,1
"premID148","The wind howled; the waves dashed their bucklers together - we were in the jaws of death  ","hypoID592","The wind roared; the waves collided - we were risking our lives.",4,1,1
"premID162","We dug up some interesting facts ","hypoID647","We have researched   and eventually found  some facts of interest",4,1,1
"premID18","the crowd was a roaring river ","hypoID70","the crowd was impressive and looked like a river",2,1,1
"premID126","The guy was a floating whale in the small swimming pool. ","hypoID501","The guy looked fat and large while floating in the small swimming pool.",4,1,1
"premID93","My lawyer is a shark ","hypoID372","My lawyer is somewhat dangerous",3,1,1
"premID80","I was staring straight into the shining sun ","hypoID318","I was considering my future career",1,0,1
"premID39","During the conflict the seeds of peace were planted. ","hypoID155","It was the end of the war.",2,1,1
"premID58","He looked neither one way nor the other way but sat like a carved image. ","hypoID230","He looked neither one way nor the other way but sat nervously twitching and agitated.",1,0,1
"premID159","Those galaxies were jellyfishes in the abyss of space. ","hypoID634","Those galaxies hosted jellyfishes in the abyss of space.",1,0,1
"premID88","The faculty meeting was a circus ","hypoID352","The faculty meeting was very interesting",2,1,1
"premID32","All the following sentences have nothing to do with this sentence ","hypoID127","He thinks these documents will become known soon or late",1,0,1
"premID36","By that time my friend was broken so he had to sell his house ","hypoID144","By that time my friend was wealthy and he had to sell his house",1,0,1
"premID45","Floating on the waves we saw the abandoned boat a dark sight indeed. ","hypoID177","Floating on the waves we saw the abandoned boat a funny sight indeed.",1,0,1
"premID130","The man still had heavy feelings about the situation ","hypoID518","The man still had good feelings about the situation",1,0,1
"premID161","War was a nightmare. ","hypoID644","War was a terrible thing.",4,1,1
"premID89","Katie’s plan to get into college was a house of cards on a crooked table ","hypoID354","Katie’s plan to get into college had very little chances to become a reality",3,1,1
"premID120","The faculty meeting was a tragedy ","hypoID479","The faculty meeting was very difficult and emotional",3,1,1
"premID80","I was staring straight into the shining sun ","hypoID320","I was trying to study",1,0,1
"premID183","The faculty meeting was an easy breeze","hypoID732","At the faculty meeting we talked about the breeze ",2,1,1
"premID9","The great gold apples of light hang from the street’s long bough dripping their light on the faces that drift below on the faces that drift and blow ","hypoID36","the sun and the moon hang along the streets and blind people",1,0,1
"premID153","She is fishing in troubled waters. ","hypoID609","She is fishing in a lake.",2,1,1
"premID5","Success is a bastard as it has many father; failure is an orphan with no takers. ","hypoID19","Success is a kind of dog and failure is a child.",2,1,1
"premID179","Her eyes were fireflies","hypoID716","Her eyes were flying away ",2,1,1
"premID86","It always rained in my life  he said ","hypoID343","I was always happy in my life  he said",1,0,1
"premID44","Fear had changed him to a shaken jelly. ","hypoID174","Fear made him stronger.",1,0,1
"premID23","we laid in fields of gold ","hypoID92","we laid in fields of roses",2,1,1
"premID119","The employee swallows her anger ","hypoID473","The employee does not show her anger and continues as usual",4,1,1
"premID127","The house was a tomb. ","hypoID507","The house was dark.",3,1,1
"premID5","Success is a bastard as it has many father; failure is an orphan with no takers. ","hypoID18","Everyone wants to take credit for success and no one wants to take responsibility for failure.",4,1,1
"premID47","From its blue vase the rose of evening drops ","hypoID186","she dropped the rose in a blue vase",2,1,1
"premID26","A golden sun shines high in the sky ","hypoID101","a black sun shines high in the sky",1,0,1
"premID137","The old woman had an open heart ","hypoID546","The old woman was greedy",1,0,1
"premID79","I was on a rollercoaster of emotions. ","hypoID313","I was experiencing a period of normality.",1,0,1
"premID78","I was in a very stormy relationship ","hypoID311","In our relationship we had frequent fights",4,1,1
"premID69","His declarations sparked a fire in the community ","hypoID274","His declarations caused the community to have intense debates",3,1,1
"premID10","he was feeling down hurt and sad  ","hypoID37","he had a broken hand",1,0,1
"premID7","David’s eyes were like daggers at Paul when Paul invited his new girlfriend to dance. ","hypoID28","When Paul invited his new girlfriend to dance  David looked at Paul angrily.",4,1,1
"premID43","I demolished his argument ","hypoID170","I demolished his house without listening to his arguments",1,0,1
"premID32","All the following sentences have nothing to do with this sentence ","hypoID125","He thinks these documents will be destroyed",1,0,1
"premID114","He hated the stench of failure. ","hypoID456","He hated to see people who failed.",3,1,1
"premID100","See the sun  far off  a shriveled orange in a sky gone black ","hypoID397","in a sky gone black the sun looks small and has an orange color",3,1,2
"premID170","Jane knew these dicsussions were the seeds of a potential conflict","hypoID679","Jane was trying to start a conflict ",2,1,2
"premID106","The animal in the middle of the sea was a mountain. ","hypoID424","The animal was huge in the middle of the sea.",4,1,2
"premID131","The moment had arrived for killing the past and coming back to life ","hypoID521","it was the moment to forget everything had happened and focus on one's life again",4,1,2
"premID149","The woman burst in a warm laughter ","hypoID595","The woman burst in a sad laughter",1,0,2
"premID54","He is in such a hurry he does not run  he flies ","hypoID213","He is in such a hurry that he runs extremely fast",4,1,2
"premID182","She knew she was burning in shame","hypoID727","She knew she was feeling calm ",2,1,2
"premID166","With the crisis the bubble exploded. ","hypoID664","With the crisis everything stayed the same.",1,0,2
"premID144","The show was characterised by dark humor and satire ","hypoID573","The show was characterised by black humor and satire",3,1,2
"premID59","He pleaded for her forgiveness but Janet was a statue ","hypoID233","He implored her to forgive him but Janet remained indifferent to his pleads",4,1,2
"premID126","The guy was a floating whale in the small swimming pool. ","hypoID503","The guy looked short and agile in the small swimming pool.",1,0,2
"premID173","The warrior was a lion on the battlefield","hypoID690","The warrior fought with great strength and courage on the battlefield ",3,1,2
"premID18","the crowd was a roaring river ","hypoID69","the crowd was huge and noisy",4,1,2
"premID27","He had a full bag of memories to unload. ","hypoID106","He had a lot of memories to unload.",4,1,2
"premID122","The future looks very promising  ","hypoID487","the future looks very bright",4,1,2
"premID96","Now you can fade off to sleep.  ","hypoID382","Now you can go to sleep.",4,1,2
"premID133","The new band was absolutely on fire ","hypoID529","the new band started a fire for no reason",1,0,2
"premID99","People think the old man has a sour temper ","hypoID393","people think the old man has a outgoing temper",2,1,2
"premID168","You will love the new train  it is a heavenly ride ","hypoID672","You will love the new train  it offers a ride you can really enjoy",4,1,2
"premID125","The girl could still remember that sweet song ","hypoID497","that was a nice and fine song the girl could still remember",4,1,2
"premID165","When it rains in Tokyo the city becomes a sea of umbrellas. ","hypoID659","When it rains in Tokyo the city becomes full of umbrellas.",4,1,2
"premID98","Our whole life we swim against the waves towards the green light of happiness. ","hypoID392","Our whole life we try to reach happiness.",4,1,2
"premID112","He felt a wave of anger ","hypoID446","he felt a mild discouragement",2,1,2
"premID134","The new city was a maze for him. ","hypoID534","The new city was disorienting and confusing for him.",4,1,2
"premID184","He kept us in the dark about his plans","hypoID733","He did not tell us anything about his plans ",4,1,2
"premID65","He was worried they might spill everything about him ","hypoID258","He was worried they might spill water on him",1,0,2
"premID74","I had already planted the idea in her mind. ","hypoID295","I had already planted the seed when an idea crossed my mind",2,1,2
"premID35","As for Peleg he took it more like a philosopher. ","hypoID137","As for Peleg he responded calmly.",3,1,2
"premID171","In the war on terror, American presidents must monitor not only the main terrorist organizations but their offshoots around the world as well","hypoID683","In the war on terror, American presidents must monitor not only the main terrorist organizations but their civil counterparts around the world as well ",2,1,2
"premID105","The President brushed aside the accusations ","hypoID419","The president brushed his hair and talked about the accusations",2,1,2
"premID130","The man still had heavy feelings about the situation ","hypoID520","Towards the situation the man still held negative feelings",3,1,2
"premID48","He always had an interest for the fruit of knowledge ","hypoID190","He always had an interest for the origins of knowledge",2,1,2
"premID16","my soul was a lampless sea and she was the tempest ","hypoID61","i was in despair and the thought of her made things worse",3,1,2
"premID102","She was just a trophy to Ricardo ","hypoID406","Ricardo saw her just as someone to display",3,1,2
"premID61","He shot down all my arguments ","hypoID242","He found flaws in all my arguments",3,1,2
"premID121","The faculty meeting was a war ","hypoID484","The faculty meeting was very difficult and emotional",3,1,2
"premID47","From its blue vase the rose of evening drops ","hypoID187","the sunset gives clouds a rose nuance in the blue of the sky",3,1,2
"premID109","The captain was a tall and noble statue. ","hypoID433","The captain was short noble and silent.",1,0,2
"premID30","After working two years for the company she was burned out ","hypoID119","After working two years for the company she was into rock and roll",1,0,2
"premID51","He felt a dark sexual desire ","hypoID201","He felt a clear sexual desire",2,1,2
"premID21","You were dying to believe in what you heard ","hypoID83","You really wanted to believe in what you heard",4,1,2
"premID163","We still ignore how the seed of life was planted on our planet ","hypoID652","We still ignore how water was formed on our planet",2,1,2
"premID111","The children were roses beautiful and forlorn ","hypoID442","The children were lively and loud",2,1,2
"premID160","Time flies ","hypoID639","time passes very fast",4,1,2
"premID162","We dug up some interesting facts ","hypoID646","We have invented some interesting facts",2,1,2
"premID33","The faculty meeting was a real war ","hypoID132","The faculty meeting was very difficult and emotional",3,1,2
"premID74","I had already planted the idea in her mind. ","hypoID296","I had already scared her about the idea.",1,0,2
"premID41","Every person has bitter memories ","hypoID164","Every person has sad memories",3,1,2
"premID3","She was the light of my life. ","hypoID11","She brought happiness and joy into my life.",4,1,2
"premID55","He is the apple of my eye. ","hypoID219","I hold him dear-",4,1,2
"premID30","After working two years for the company she was burned out ","hypoID117","After working two years for the company she was exhausted  stressed and depleted",4,1,2
"premID70","His friend was very tall and he looked like a chess piece beside him.  ","hypoID280","His friend was very tall and he looked white beside him.",1,0,2
"premID141","The roots of progress are in technological development. ","hypoID562","Technological development is the consequence of progress.",2,1,2
"premID137","The old woman had an open heart ","hypoID548","The old woman was nice and generous",4,1,2
"premID84","In the worst of times we looked at hope  shining in the dark ","hypoID335","In the worst of times we still had hope",4,1,2
"premID109","The captain was a tall and noble statue. ","hypoID435","The captain was tall noble and silent.",3,1,2
"premID105","The President brushed aside the accusations ","hypoID417","The President gave little credit to the accusations",4,1,2
"premID106","The animal in the middle of the sea was a mountain. ","hypoID422","The animal in the middle of the sea was small.",1,0,2
"premID171","In the war on terror, American presidents must monitor not only the main terrorist organizations but their offshoots around the world as well","hypoID684","In the war on terror, American presidents must monitor not only the main terrorist organizations but their declared enemies around the world as well ",2,1,2
"premID164","When I looked at my friend after the storm he was a ghost. ","hypoID654","When I looked at my friend after the storm he was pale and scared.",4,1,2
"premID93","My lawyer is a shark ","hypoID369","My lawyer is kind and romantic",1,0,2
"premID27","He had a full bag of memories to unload. ","hypoID108","He had very few memories to tell.",2,1,2
"premID12","it is midnight now : all masks fall ","hypoID45","by midnight you have to return all the masks",2,1,3
"premID3","She was the light of my life. ","hypoID10","She brought depression and dissatisfaction into my life.",1,0,3
"premID79","I was on a rollercoaster of emotions. ","hypoID316","I was on a rollercoaster which gives me strong emotions.",2,1,3
"premID18","the crowd was a roaring river ","hypoID71","the crowd was liquid like a river",2,1,3
"premID39","During the conflict the seeds of peace were planted. ","hypoID154","During the conflict the foundations of peace were visible.",3,1,3
"premID1","She was ready to turn her hand and heart to anything that promised to yield safety.  ","hypoID2","She was ready to act and to look after anything that promised to yield safety.",3,1,3
"premID109","The captain was a tall and noble statue. ","hypoID434","The captain was tall noble and never stopped moving.",1,0,3
"premID66","Her joy was blinding ","hypoID261","Her joy was green",1,0,3
"premID180","The faculty meeting was a nightmare","hypoID720","the faculty meeting was very bad ",4,1,3
"premID102","She was just a trophy to Ricardo ","hypoID408","She was very loved by Ricardo",2,1,3
"premID113","He felt a wave of excitement ","hypoID451","he felt an intense excitement overcoming him",4,1,3
"premID149","The woman burst in a warm laughter ","hypoID596","The woman started laughing in a nice and pleasant way",4,1,3
"premID49","He attacked every weak point in my argument ","hypoID194","He ignored all the weak points in my argument",1,0,3
"premID79","I was on a rollercoaster of emotions. ","hypoID315","I was in a strange period of my life.",3,1,3
"premID88","The faculty meeting was a circus ","hypoID350","The faculty meeting was embarassing",2,1,3
"premID110","You were hanging yourself on someone else 's words ","hypoID440","You were absolutely willing to listen to someone else",3,1,3
"premID46","For the end of the year  I was burned and broken ","hypoID182","For the end of the year  I was happy and wealthy",1,0,3
"premID30","After working two years for the company she was burned out ","hypoID118","After working two years for the company she was full of energy",1,0,3
"premID64","He was so happy he felt his heart was exploding ","hypoID254","he was so happy he felt he should explode something",1,0,3
"premID37","Calm down - there's no need to get all steamed up about it. ","hypoID148","Calm down - there's no need to steam this up.",2,1,3
"premID46","For the end of the year  I was burned and broken ","hypoID181","For the end of the year  I burned my car and broke out",1,0,3
"premID123","The faculty meeting was a comedy show ","hypoID490","The faculty meeting was embarassing",2,1,3
"premID163","We still ignore how the seed of life was planted on our planet ","hypoID650","We still ignore how life happened",3,1,3
"premID25","A break up can leave you with a broken heart. ","hypoID100","A break up can make you feel like you are having a stroke.",2,1,3
"premID52","He felt a sudden red pain through his leg ","hypoID208","He felt running through his leg a sudden pain and saw red",2,1,3
"premID7","David’s eyes were like daggers at Paul when Paul invited his new girlfriend to dance. ","hypoID27","David looked at Paul very angrily when Paul invited his new girlfriend to dance.",4,1,3
"premID91","I embarked on life thirty years ago ","hypoID363","I was born thirty years ago",3,1,3
"premID166","With the crisis the bubble exploded. ","hypoID662","With the crisi  the situation changed dramatically.",4,1,3
"premID97","O Moon your light is failing and now you are just a cold bow ","hypoID385","Moon  your light is stronger now and I have a bow",1,0,3
"premID171","In the war on terror, American presidents must monitor not only the main terrorist organizations but their offshoots around the world as well","hypoID681","In the war on terror, American presidents must monitor not only the main terrorist organizations but any group developing from them as well ",4,1,3
"premID32","All the following sentences have nothing to do with this sentence ","hypoID126","He thinks these documents will be disclosed soon or late",1,0,3
"premID161","War was a nightmare. ","hypoID642","War felt good.",1,0,3
"premID78","I was in a very stormy relationship ","hypoID309","I was in a very complicated relationship",3,1,3
"premID49","He attacked every weak point in my argument ","hypoID196","He was able to find and show every weak point in my argument",4,1,3
"premID102","She was just a trophy to Ricardo ","hypoID407","She was just a sign of accomplishment to Ricardo",4,1,3
"premID179","Her eyes were fireflies","hypoID715","Her eyes were dark and deep ",2,1,3
"premID163","We still ignore how the seed of life was planted on our planet ","hypoID651","We still ignore how life was started on our planet",4,1,3
"premID164","When I looked at my friend after the storm he was a ghost. ","hypoID655","When I looked at my friend after the storm he was pale and silent.",4,1,3
"premID20","the wheels of justice turn slowly ","hypoID79","justice prevails in very little time",2,1,3
"premID112","He felt a wave of anger ","hypoID447","he felt an intense anger overcoming him",4,1,3
"premID148","The wind howled; the waves dashed their bucklers together - we were in the jaws of death  ","hypoID590","The wind roared; the waves collided - we were in great danger.",4,1,3
"premID69","His declarations sparked a fire in the community ","hypoID275","His declarations left the community unimpressed",2,1,3
"premID139","The republican convention was a horror show ","hypoID555","The republican convention was very distressing",4,1,3
"premID83","If you are drowning in a sea of minor problems you cannot focus on what matters ","hypoID329","If you drown in the sea  then you have a problem",2,1,3
"premID99","People think the old man has a sour temper ","hypoID394","people think the old man has a peaceful temper",1,0,3
"premID137","The old woman had an open heart ","hypoID547","The old woman was introvert",1,0,3
"premID47","From its blue vase the rose of evening drops ","hypoID185","in the blue sky the sunset is rose",3,1,3
"premID157","They were stirring excitement ","hypoID628","They were suffocating excitement",1,0,3
"premID57","He lived in a state of deep terror ","hypoID227","He lived in a state of mild discomfort",2,1,3
"premID143","The seeds of change were planted in 1943 ","hypoID571","The hopes for a change vanished in 1943",1,0,3
"premID176","He thinks these documents will leak out soon or late","hypoID701","He thinks these documents will become known soon or late ",4,1,3
"premID43","I demolished his argument ","hypoID171","I demonstrated that all his arguments were inconsistent",4,1,3
"premID85","She was lost in her thoughts and memories ","hypoID337","She payed little attentions to her memories and thoughts",1,0,3
"premID11","her smile was a blinding sun ","hypoID44","her smile was wonderful and fulfilling to see",4,1,3
"premID109","The captain was a tall and noble statue. ","hypoID436","The captain was tall noble and still.",3,1,3
"premID170","Jane knew these dicsussions were the seeds of a potential conflict","hypoID680","Jane knew these discussions were the end of a potential conflict ",2,1,3
"premID77","I was home watching the days slip by from my window ","hypoID307","I was home reparing all the windows",1,0,3
"premID146","The soldiers were devils. ","hypoID582","The soldiers were dangerous and aggressive.",4,1,3
"premID28","Adam did not understand the root of the crisis  ","hypoID109","Adam did not manage to understand what the causes of the crisis were",4,1,3
"premID118","The darted harpoon was lightning in the sea. ","hypoID471","The harpoon was darted in the sea.",2,1,3
"premID155","There were dark corners in his past things he didn't like to remember. ","hypoID617","There were excellent achievements in his past things he didn't like to remember.",1,0,3
"premID103","I was alone in a sea of unknown faces ","hypoID411","I was alone in an exclusive club of unknown faces",2,1,3
"premID150","The woman had a blue feeling ","hypoID600","What the woman was feeling was a kind of melancholy",4,1,4
"premID177","The weeks crawled by until we could meet again","hypoID705","The weeks seemed to pass slowly until we could meet again ",4,1,4
"premID82","You were hanging yourself on someone else 's words ","hypoID327","You were oblivious of what someone else had said",2,1,4
"premID117","You'd better keep away from Bill today because he's in a black mood. ","hypoID466","You'd better keep away from Bill today because he's angry and sad.",4,1,4
"premID178","Words are weapons","hypoID711","Words are linguistic abstractions ",2,1,4
"premID94","She said that she could smell infidelity from a mile. ","hypoID376","She said that something smelled very bad.",2,1,4
"premID114","He hated the stench of failure. ","hypoID453","He hated a specific stench.",2,1,4
"premID56","He knew how to write sweet words ","hypoID221","He knew how to write Japanese words",1,0,4
"premID181","When I met the boss he seemed bitter about the whole story","hypoID723","When I met the boss he seemed happy about the whole story ",2,1,4
"premID127","The house was a tomb. ","hypoID505","The house was big.",2,1,4
"premID56","He knew how to write sweet words ","hypoID222","He knew how to write agreeable words",3,1,4
"premID103","I was alone in a sea of unknown faces ","hypoID409","I was alone in a circle of unknown faces",3,1,4
"premID116","She had a bright idea ","hypoID462","She had a bad idea",1,0,4
"premID122","The future looks very promising  ","hypoID486","the future is a rocky mountain",1,0,4
"premID95","Nobody cares about the roots of modern civilization. ","hypoID380","Nobody tries to understand what produced modern civilization.",4,1,4
"premID124","The girl broke into the conversation ","hypoID495","The girl remained silent during the conversation",1,0,4
"premID142","The roots of the war were in the economical crisis ","hypoID568","The reasons that carried to the war were in the economical crisis",3,1,4
"premID178","Words are weapons","hypoID709","Words are powerful and can have significant impact ",4,1,4
"premID101","She arrived at the grocery store with an army of children ","hypoID403","She arrived at the grocery store with few children",1,0,4
"premID147","The war devoured so many lives. ","hypoID588","The war scared so many people.",1,0,4
"premID133","The new band was absolutely on fire ","hypoID531","the new band was escaping a fire",1,0,4
"premID157","They were stirring excitement ","hypoID626","They were drinking excitement",1,0,4
"premID3","She was the light of my life. ","hypoID12","She had a light and a life.",2,1,4
"premID145","The sky was on fire and he felt pain pouring down. ","hypoID579","The sky was red and he felt an intense pain.",3,1,4
"premID181","When I met the boss he seemed bitter about the whole story","hypoID721","When I met the boss he seemed sad about the whole story ",4,1,4
"premID152","Your words surround me but I will not surrender ","hypoID605","What you say is challenging but I keep my point",3,1,4
"premID159","Those galaxies were jellyfishes in the abyss of space. ","hypoID633","Those galaxies had an alien look in outer space.",2,1,4
"premID135","The news inflamed your temper. ","hypoID540","The news was on fire and in flames.",1,0,4
"premID147","The war devoured so many lives. ","hypoID586","The war killed so many people.",4,1,4
"premID177","The weeks crawled by until we could meet again","hypoID707","the weeks went as usual until we could meet again ",2,1,4
"premID71","His purplish head was a skull under the moon. ","hypoID284","His purplish head was illuminated by the moon.",3,1,4
"premID12","it is midnight now : all masks fall ","hypoID47","it is a dangerous moment : there are no excuses",3,1,4
"premID71","His purplish head was a skull under the moon. ","hypoID283","His purplish head was black and hairy under the moon.",1,0,4
"premID13","an ancient anger exploded in his heart ","hypoID50","he was overwhelmed by an anger he had suppressed for a long time",4,1,4
"premID98","Our whole life we swim against the waves towards the green light of happiness. ","hypoID391","Our whole life we try to reach happiness even if it is difficult.",4,1,4
"premID60","He said the leaders will have to deal with an ocean of resentment ","hypoID239","He said the leaders will have to sail the ocean as soon as possible",1,0,4
"premID184","He kept us in the dark about his plans","hypoID735","He communicated all his plans to us ",2,1,4
"premID88","The faculty meeting was a circus ","hypoID349","At the faculty meeting we watched a comedy show",1,0,4
"premID34","And now they were leaking all kinds of documents ","hypoID134","And now they were burning all kinds of documents",1,0,4
"premID26","A golden sun shines high in the sky ","hypoID104","a yellow sun shines high in the sky",3,1,4
"premID54","He is in such a hurry he does not run  he flies ","hypoID214","He is in such a hurry that he walks",2,1,4
"premID162","We dug up some interesting facts ","hypoID645","We have concealed some interesting facts",1,0,4
"premID117","You'd better keep away from Bill today because he's in a black mood. ","hypoID468","You'd better keep away from Bill today because he's in a black car.",1,0,4
"premID9","The great gold apples of light hang from the street’s long bough dripping their light on the faces that drift below on the faces that drift and blow ","hypoID35","the street lamps hang from the streets and cast their light on people 's faces",4,1,4
"premID167","You disagree ? Ok  shoot ","hypoID665","If you disagree  then speak your mind",3,1,4
"premID52","He felt a sudden red pain through his leg ","hypoID206","He felt a sudden intense pain through his leg",4,1,4
"premID167","You disagree ? Ok  shoot ","hypoID668","You disagree ? Ok  tell why",4,1,4
"premID16","my soul was a lampless sea and she was the tempest ","hypoID63","my mood was great and i was in love with her",1,0,4
"premID36","By that time my friend was broken so he had to sell his house ","hypoID141","By that time my friend had a broken bone and he had to sell his house",1,0,4
"premID50","He drowned in a sea of grief. ","hypoID200","He was happy and jolly.",1,0,4
"premID151","Their honey moon was a dream ","hypoID604","They highly enjoyed their honey moon",4,1,4
"premID140","The rich man had a cold heart ","hypoID560","The rich man’s personality was characterised by selfishness",3,1,4
"premID65","He was worried they might spill everything about him ","hypoID259","He was worried they might tell everything about him",4,1,4
"premID184","He kept us in the dark about his plans","hypoID736","He kept us in a dark room ",2,1,4
"premID23","we laid in fields of gold ","hypoID91","we laid in fields of green grass",2,1,4
"premID100","See the sun  far off  a shriveled orange in a sky gone black ","hypoID398","see the sun  far off  it looks large and white in a sky gone black",2,1,4
"premID56","He knew how to write sweet words ","hypoID223","He knew how to write down something nice and pleasant",4,1,4
"premID60","He said the leaders will have to deal with an ocean of resentment ","hypoID237","He said the leaders will have to deal with a large amount of resentment",4,1,4
